checked_at,source,brand,name,mrp,price,discount_pct,price_per_100g,in_stock,url
2026-09-05 13:12 IST,OZiva,OZiva,Daily Protein Activ for Women (Classic Vanilla / Starter Pack),799.0,749.0,6.3,,True,https://oziva.in/products/daily-protein-activ-for-women-with-clean-whey-protein-multivitamins-tulsi-probiotics-for-improved-everyday-energy-stamina-bone-health-immune-health
2026-09-05 13:12 IST,OZiva,OZiva,"Pro-Collagen Protein Peptides, 250 g (Starter Pack)",849.0,799.0,5.9,319.6,True,https://oziva.in/products/oziva-pro-collagen-protein-peptides-with-clean-protein-green-coffee-hyaluronic-acid-biotin-for-skin-hair-health-muscle-joint-health-protein-breakdown-caramel-250-g
2026-09-05 13:12 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Guava Glow / Starter Pack)",959.0,929.0,3.1,,True,https://oziva.in/products/plant-based-collagen
2026-09-05 13:12 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Classic / Starter Pack)",959.0,929.0,3.1,,True,https://oziva.in/products/plant-based-collagen
2026-09-05 13:12 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Berry Orange / Starter Pack)",959.0,929.0,3.1,,True,https://oziva.in/products/plant-based-collagen
2026-09-05 13:12 IST,OZiva,OZiva,"Vegan Collagen, Clinically Proven (Watermelon / Starter Pack)",959.0,929.0,3.1,,True,https://oziva.in/products/plant-based-collagen
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Kids Protein Vanilla Free Sachet,79.0,79.0,0.0,,True,https://wellbeingnutrition.com/products/kids-protein-vanilla-free-sachet
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Kids Protein Chocolate Sachet,79.0,79.0,0.0,,True,https://wellbeingnutrition.com/products/kids-protein-chocolate-sachet
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Kids Protein Vanilla Sachet,79.0,79.0,0.0,,True,https://wellbeingnutrition.com/products/kids-protein-vanilla-sachet
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Vegan Protein Dark Chocolate Hazelnut Sachet,150.0,150.0,0.0,,True,https://wellbeingnutrition.com/products/vegan-protein-dark-chocolate-hazelnut-sachet
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Whey Protein Isolate Dark Chocolate Sachet (Pack of 1),160.0,160.0,0.0,,False,https://wellbeingnutrition.com/products/whey-protein-isolate-dark-chocolate-sachet
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Whey Protein Isolate + Concentrate Mango Sachets (Pack of 1),1399.0,1399.0,0.0,,False,https://wellbeingnutrition.com/products/whey-protein-isolate-concentrate-mango-sachets
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Plant Protein 22g | 500g | 3B CFU Probiotics | Dark Chocolate Hazelnut (Pack of 1),1799.0,1709.0,5.0,341.8,True,https://wellbeingnutrition.com/products/vegan-protein-dark-chocolate-hazelnut
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Plant Protein 22g | 500g | 3B CFU Probiotics | Italian Cafe Mocha (Pack of 1),1799.0,1709.0,5.0,341.8,False,https://wellbeingnutrition.com/products/vegan-protein-italian-cafe-mocha
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Plant Protein 22g | 500g | 3B CFU Probiotics | Belgian Dark Chocolate (Pack of 1),1799.0,1709.0,5.0,341.8,True,https://wellbeingnutrition.com/products/vegan-protein-belgian-chocolate
2026-09-05 13:12 IST,Wellbeing Nutrition,Wellbeing Nutrition,Plant Protein 22g | 500g | 3B CFU Probiotics | French Vanilla Caramel (Pack of 1),1799.0,1709.0,5.0,341.8,True,https://wellbeingnutrition.com/products/vegan-protein-french-vanilla-caramel
